Планшет Samsung Galaxy Tab A 7″ 8GB (SM-T285) Black,49890,Samsung,66522,Планшеты,"7″ - 17,8 см",8 Гб,"1,5 ГБ",Wi-Fi + 4G,5 Mpx,2 Mpx
Планшет Apple iPad Pro 12.9″ (2018) 256GB Wi-Fi + Cellular (MTHV2) Space Grey,599990,Apple,88238,Планшеты,"12,9″ - 32,77 см",256 Гб,4 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi + Cellular (MYMH2) Space Grey ,262990,Apple,471895,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi (MYLC2) Gold,188990,Apple,471891,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 12.9″ (2020) 128GB Wi‑Fi + Cellular (MY3D2) Silver ,658990,Apple,459959,Планшеты,"12,9″ - 32,77 см",128 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi (MYLA2) Silver,188990,Apple,471890,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 11″ (2020) 128GB Wi‑Fi + Cellular (MY2W2) Silver ,543990,Apple,459996,Планшеты,"11″ - 27,94 см",128 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 512GB Wi‑Fi + Cellular (MXF72) Space Grey,830990,Apple,460010,Планшеты,"12,9″ - 32,77 см",512 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 128GB Wi-Fi (MYLE2) Silver ,245990,Apple,471893,Планшеты,"10,2″ - 25,9 см",128 Гб,3 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Apple iPad mini 5 256GB WI-FI + Cellular (MUXC2) Space Gray ,393790,Apple,298090,Планшеты,"7,9″ - 20,1 см",256 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2018) 1TB Wi-Fi + Cellular (MU1V2) Space Grey,739990,Apple,88231,Планшеты,"11″ - 27,94 см",1 Тб,4 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 512GB Wi‑Fi (MXAV2) Space Grey,744990,Apple,460005,Планшеты,"12,9″ - 32,77 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad mini 5 256GB WI-FI + Cellular (MUXD2) Silver ,398990,Apple,298091,Планшеты,"7,9″ - 20,1 см",256 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,7 Mpx
Планшет Apple iPad Air 10.5″ (2019) 256GB WI-FI + Cellular (MV0P2) Silver ,379990,Apple,298079,Планшеты,"10,5″ - 26,67 см",256 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 512GB Wi‑Fi (MXDE2) Space Grey,630990,Apple,459993,Планшеты,"11″ - 27,94 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 1TB Wi‑Fi (MXDG2) Space Grey,744990,Apple,459995,Планшеты,"11″ - 27,94 см",1 Тб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ 64GB Wi-Fi Demo (3D941) Space Grey,469990,Apple,86517,Планшеты,"12,9″ - 32,77 см",64 Гб,4 ГБ,,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 512GB Wi‑Fi (MXDF2) Silver,630990,Apple,459994,Планшеты,"11″ - 27,94 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 512GB Wi‑Fi (MXAW2) Silver,744990,Apple,460006,Планшеты,"12,9″ - 32,77 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Samsung Galaxy Tab A7 10.4″ (SM-T505) Gold,119890,Samsung,474822,Планшеты,"10,4″ - 26.31 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
"Планшет Huawei MatePad T 8"" 2/32GB",69990,Huawei,471885,Планшеты,"8″ - 20,3 см",32 Гб,2 ГБ,Wi-Fi + 4G,5 Mpx,2 Mpx
Планшет Samsung Galaxy Tab A7 10.4″ (SM-T505) Gray,119890,Samsung,474821,Планшеты,"10,4″ - 26.31 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Prestigio Smartkids 3197 Blue,27990,Prestigio,474833,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,только Wi-Fi,2 Mpx,"0,3 Mpx"
Планшет Prestigio MultiPad Wize 4137 4G Black,33990,Prestigio,474832,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,Wi-Fi + 4G,2 Mpx,"0,3 Mpx"
Планшет Prestigio Smartkids 3197 Pink,27990,Prestigio,474834,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,только Wi-Fi,2 Mpx,"0,3 Mpx"
Планшет Apple iPad Pro 11'' (2018) 256GB Wi-Fi (MTXR2) Silver,494890,Apple,390372,Планшеты,"11″ - 27,94 см",256 Гб,4 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2018) 512GB Wi-Fi (MTXT2) Space Grey,512990,Apple,390373,Планшеты,"11″ - 27,94 см",512 Гб,4 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 256GB Wi‑Fi (MXDC2) Space Grey,515990,Apple,459991,Планшеты,"11″ - 27,94 см",256 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Lenovo Tab M7 16GB (TB-7305X) Platinum Grey,49990,Lenovo,460015,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,,2 Mpx,2 Mpx
Планшет Apple iPad 10.2″ 128GB Wi-Fi + Cellular (MW6F2) Silver,316990,Apple,393689,Планшеты,"10,2″ - 25,9 см",128 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 12.9″ (2020) 256GB Wi‑Fi + Cellular (MXF62) Silver,716990,Apple,460009,Планшеты,"12,9″ - 32,77 см",256 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 128GB Wi‑Fi (MY2J2) Silver,572990,Apple,460002,Планшеты,"12,9″ - 32,77 см",128 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 256GB Wi‑Fi (MXDD2) Silver,515990,Apple,459992,Планшеты,"11″ - 27,94 см",256 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi + Cellular (MYMK2) Gold,262990,Apple,471897,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 11″ (2018) 512GB WI-FI + Cellular (MU1F2) Space Gray ,679890,Apple,390378,Планшеты,"11″ - 27,94 см",512 Гб,4 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 256GB Wi‑Fi + Cellular (MXE52) Silver ,601990,Apple,459998,Планшеты,"11″ - 27,94 см",256 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 128GB Wi-Fi + Cellular (MYMN2) Gold ,320990,Apple,471900,Планшеты,"10,2″ - 25,9 см",128 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 12.9″ (2018) 256GB Wi-Fi + Cellular (MTJ62) Silver,684990,Apple,390383,Планшеты,"12,9″ - 32,77 см",256 Гб,3 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 256GB Wi‑Fi (MXAU2) Silver ,630990,Apple,460004,Планшеты,"12,9″ - 32,77 см",256 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 512GB Wi‑Fi + Cellular (MXE72) Silver ,716990,Apple,460000,Планшеты,"11″ - 27,94 см",512 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 128GB Wi-Fi + Cellular (MYMM2) Silver ,320990,Apple,471899,Планшеты,"10,2″ - 25,9 см",128 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi + Cellular (MYMJ2) Silver ,262990,Apple,471896,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Lenovo Tab M10 10.1″ 2/32GB 4G Grey (TB-X306X),84990,Lenovo,474866,Планшеты,"10,1"" - 25,65 см",32 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Lenovo Tab M8 TB-8505F 2/32GB WiFi Grey,59990,Lenovo,474864,Планшеты,"8″ - 20,3 см",32 Гб,2 ГБ,только Wi-Fi,5 Mpx,2 Mpx
Планшет Lenovo Tab M10 10.4″ 4/128GB 4G Grey (TB-X606X),119990,Lenovo,474867,Планшеты,"10,4″ - 26.31 см",128 Гб,4 Гб + 16 Гб Optane,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Lenovo Tab M10 10.1″ TB-X306X 2/32GB Wi-Fi Grey,74990,Lenovo,474865,Планшеты,"10,1"" - 25,65 см",32 Гб,2 ГБ,только Wi-Fi,8 Mpx,5 Mpx
Планшет Apple iPad Pro 12.9″ 64GB Wi-Fi Demo (3D941) Space Grey,469990,Apple,86517,Планшеты,"12,9″ - 32,77 см",64 Гб,4 ГБ,,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 512GB Wi‑Fi (MXDF2) Silver,630990,Apple,459994,Планшеты,"11″ - 27,94 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 512GB Wi‑Fi (MXAW2) Silver,744990,Apple,460006,Планшеты,"12,9″ - 32,77 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Samsung Galaxy Tab A7 10.4″ (SM-T505) Gold,119890,Samsung,474822,Планшеты,"10,4″ - 26.31 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
"Планшет Huawei MatePad T 8"" 2/32GB",69990,Huawei,471885,Планшеты,"8″ - 20,3 см",32 Гб,2 ГБ,Wi-Fi + 4G,5 Mpx,2 Mpx
Планшет Samsung Galaxy Tab A7 10.4″ (SM-T505) Gray,119890,Samsung,474821,Планшеты,"10,4″ - 26.31 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Prestigio Smartkids 3197 Blue,27990,Prestigio,474833,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,только Wi-Fi,2 Mpx,"0,3 Mpx"
Планшет Prestigio MultiPad Wize 4137 4G Black,33990,Prestigio,474832,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,Wi-Fi + 4G,2 Mpx,"0,3 Mpx"
Планшет Prestigio Smartkids 3197 Pink,27990,Prestigio,474834,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,только Wi-Fi,2 Mpx,"0,3 Mpx"
Планшет Apple iPad Pro 11'' (2018) 256GB Wi-Fi (MTXR2) Silver,494890,Apple,390372,Планшеты,"11″ - 27,94 см",256 Гб,4 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2018) 512GB Wi-Fi (MTXT2) Space Grey,512990,Apple,390373,Планшеты,"11″ - 27,94 см",512 Гб,4 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 256GB Wi‑Fi (MXDC2) Space Grey,515990,Apple,459991,Планшеты,"11″ - 27,94 см",256 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Lenovo Tab M7 16GB (TB-7305X) Platinum Grey,49990,Lenovo,460015,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,,2 Mpx,2 Mpx
Планшет Apple iPad 10.2″ 128GB Wi-Fi + Cellular (MW6F2) Silver,316990,Apple,393689,Планшеты,"10,2″ - 25,9 см",128 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 12.9″ (2020) 256GB Wi‑Fi + Cellular (MXF62) Silver,716990,Apple,460009,Планшеты,"12,9″ - 32,77 см",256 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 128GB Wi‑Fi (MY2J2) Silver,572990,Apple,460002,Планшеты,"12,9″ - 32,77 см",128 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 256GB Wi‑Fi (MXDD2) Silver,515990,Apple,459992,Планшеты,"11″ - 27,94 см",256 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi + Cellular (MYMK2) Gold,262990,Apple,471897,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 11″ (2018) 512GB WI-FI + Cellular (MU1F2) Space Gray ,679890,Apple,390378,Планшеты,"11″ - 27,94 см",512 Гб,4 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 256GB Wi‑Fi + Cellular (MXE52) Silver ,601990,Apple,459998,Планшеты,"11″ - 27,94 см",256 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 128GB Wi-Fi + Cellular (MYMN2) Gold ,320990,Apple,471900,Планшеты,"10,2″ - 25,9 см",128 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 12.9″ (2018) 256GB Wi-Fi + Cellular (MTJ62) Silver,684990,Apple,390383,Планшеты,"12,9″ - 32,77 см",256 Гб,3 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 256GB Wi‑Fi (MXAU2) Silver ,630990,Apple,460004,Планшеты,"12,9″ - 32,77 см",256 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 512GB Wi‑Fi + Cellular (MXE72) Silver ,716990,Apple,460000,Планшеты,"11″ - 27,94 см",512 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 128GB Wi-Fi + Cellular (MYMM2) Silver ,320990,Apple,471899,Планшеты,"10,2″ - 25,9 см",128 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi + Cellular (MYMJ2) Silver ,262990,Apple,471896,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Lenovo Tab M10 10.1″ 2/32GB 4G Grey (TB-X306X),84990,Lenovo,474866,Планшеты,"10,1"" - 25,65 см",32 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Lenovo Tab M8 TB-8505F 2/32GB WiFi Grey,59990,Lenovo,474864,Планшеты,"8″ - 20,3 см",32 Гб,2 ГБ,только Wi-Fi,5 Mpx,2 Mpx
Планшет Lenovo Tab M10 10.4″ 4/128GB 4G Grey (TB-X606X),119990,Lenovo,474867,Планшеты,"10,4″ - 26.31 см",128 Гб,4 Гб + 16 Гб Optane,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Lenovo Tab M10 10.1″ TB-X306X 2/32GB Wi-Fi Grey,74990,Lenovo,474865,Планшеты,"10,1"" - 25,65 см",32 Гб,2 ГБ,только Wi-Fi,8 Mpx,5 Mpx
